code,name,close,gain_pct,turnover,vol_hand,amount_wan,launch_date,launch_gain,launch_vol_ratio,launch_turnover,launch_low,launch_high,launch_close,adjust_days,adjust_vol_mean_ratio,adjust_low,adjust_drawdown_pct,vol_ratio,prev_vol_hand,break_launch_high,score,parts
600059,古越龙山,9.4,6.82,9.75,888607.0,84098.0,2026-09-04,10.06,5.64,7.91,8.55,9.19,9.19,2,0.7,8.76,-4.68,2.39,371474.0,True,53.3,"{'trigger': 0.419, 'launch': 1.0, 'shrink': 0.125, 'hold': 0.328, 'speed': 0.833}"
688700,东威科技,64.6,6.97,6.61,19736039.0,125012.0,2026-09-07,15.09,2.42,8.98,54.12,62.89,61.85,1,0.465,60.11,-2.81,1.58,12471116.0,True,45.9,"{'trigger': 0.092, 'launch': 0.58, 'shrink': 0.419, 'hold': 0.683, 'speed': 1.0}"
002171,楚江新材,11.06,7.38,8.33,1344891.0,145277.0,2026-09-03,5.32,3.41,6.76,9.84,10.5,10.5,3,0.533,10.1,-3.81,2.44,550197.0,True,45.1,"{'trigger': 0.486, 'launch': 0.451, 'shrink': 0.334, 'hold': 0.394, 'speed': 0.667}"
